kab_kota,kode,lapangan_usaha,tahun,adhk,adhb
Provinsi Kepulauan Riau,I,I. Penyediaan Akomodasi dan Makan Minum,2023,4494.33,6301.9
Provinsi Kepulauan Riau,I,I. Penyediaan Akomodasi dan Makan Minum,2024,4683.68,6681.4
Provinsi Kepulauan Riau,I,I. Penyediaan Akomodasi dan Makan Minum,2025,4818.29,6980.0
Provinsi Kepulauan Riau,J,J. Informasi dan Komunikasi,2021,5909.45,7078.1
Provinsi Kepulauan Riau,J,J. Informasi dan Komunikasi,2022,6421.12,7719.9
Provinsi Kepulauan Riau,J,J. Informasi dan Komunikasi,2023,7702.88,9334.2
Provinsi Kepulauan Riau,J,J. Informasi dan Komunikasi,2024,7698.4,9388.8
Provinsi Kepulauan Riau,J,J. Informasi dan Komunikasi,2025,7494.68,9113.7
Provinsi Kepulauan Riau,K,K. Jasa Keuangan dan Asuransi,2021,4833.25,7191.8
Provinsi Kepulauan Riau,K,K. Jasa Keuangan dan Asuransi,2022,5035.02,7906.3
Provinsi Kepulauan Riau,K,K. Jasa Keuangan dan Asuransi,2023,5470.38,8823.3
Provinsi Kepulauan Riau,K,K. Jasa Keuangan dan Asuransi,2024,5875.9,9644.3
Provinsi Kepulauan Riau,K,K. Jasa Keuangan dan Asuransi,2025,6117.41,10228.5
Provinsi Kepulauan Riau,L,L. Real Estat,2021,2247.92,3116.6
Provinsi Kepulauan Riau,L,L. Real Estat,2022,2352.27,3353.5
Provinsi Kepulauan Riau,L,L. Real Estat,2023,2475.66,3640.0
Provinsi Kepulauan Riau,L,L. Real Estat,2024,2614.14,3882.7
Provinsi Kepulauan Riau,L,L. Real Estat,2025,2763.51,4159.7
Provinsi Kepulauan Riau,"M,N","M,N. Jasa Perusahaan",2021,5.74,6.6
Provinsi Kepulauan Riau,"M,N","M,N. Jasa Perusahaan",2022,6.61,8.8
Provinsi Kepulauan Riau,"M,N","M,N. Jasa Perusahaan",2023,7.82,11.1
Provinsi Kepulauan Riau,"M,N","M,N. Jasa Perusahaan",2024,8.21,12.0
Provinsi Kepulauan Riau,"M,N","M,N. Jasa Perusahaan",2025,9.59,14.2
Provinsi Kepulauan Riau,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2021,4028.29,6698.0
Provinsi Kepulauan Riau,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,4163.45,7202.8
Provinsi Kepulauan Riau,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,4376.99,7886.5
Provinsi Kepulauan Riau,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2024,5158.77,9223.4
Provinsi Kepulauan Riau,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2025,5083.69,8873.9
Provinsi Kepulauan Riau,P,P. Jasa Pendidikan,2021,2183.17,3878.5
Provinsi Kepulauan Riau,P,P. Jasa Pendidikan,2022,2255.62,4182.9
Provinsi Kepulauan Riau,P,P. Jasa Pendidikan,2023,2342.98,4416.3
Provinsi Kepulauan Riau,P,P. Jasa Pendidikan,2024,2435.31,4702.6
Provinsi Kepulauan Riau,P,P. Jasa Pendidikan,2025,2568.83,5092.4
Provinsi Kepulauan Riau,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2021,1886.04,2571.8
Provinsi Kepulauan Riau,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2022,1885.75,2646.3
Provinsi Kepulauan Riau,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2023,1794.92,2578.7
Provinsi Kepulauan Riau,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2024,2146.71,3124.1
Provinsi Kepulauan Riau,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2025,2203.96,3273.1
Provinsi Kepulauan Riau,"R,S,T,U","R,S,T,U. Jasa Lainnya",2021,272.86,430.0
Provinsi Kepulauan Riau,"R,S,T,U","R,S,T,U. Jasa Lainnya",2022,463.78,786.5
Provinsi Kepulauan Riau,"R,S,T,U","R,S,T,U. Jasa Lainnya",2023,563.56,994.4
Provinsi Kepulauan Riau,"R,S,T,U","R,S,T,U. Jasa Lainnya",2024,653.43,1175.9
Provinsi Kepulauan Riau,"R,S,T,U","R,S,T,U. Jasa Lainnya",2025,666.25,1231.6
